TRADING CODE,LTP*,HIGH,LOW,CLOSEP*,YCP*,TRADE,VALUE (mn),VOLUME
POWERGRID,35.7,35.8,35.2,35.7,35.4,213,3.156,88725
PRAGATIINS,52.2,53.9,52.1,52.2,52.7,86,1.608,30702
PRAGATILIF,109.4,111.5,109.2,109.4,109.1,311,4.118,37569
PREMIERBAN,9,9.1,9,9,9,53,1.555,172473
PREMIERCEM,46.9,47.7,46.5,46.9,46.9,116,2.034,43203
PREMIERLEA,3.4,3.5,3.3,3.4,3.5,7,0.03,9023
PRIME1ICBA,4.5,4.7,4.5,4.6,4.6,44,0.604,131700
PRIMEBANK,24.7,24.8,24.6,24.7,24.7,50,2.184,88394
PRIMEFIN,4.6,4.9,4.6,4.7,4.8,48,0.473,100603
PRIMEINSUR,32.3,32.9,32.3,32.3,32.4,65,0.61,18860
PRIMELIFE,33.4,34.5,33.2,33.4,33.6,47,0.51,15290
PRIMETEX,15.8,15.8,14.4,15.8,14.4,281,3.531,227687
PROGRESLIF,38.9,40,37,38.9,36.7,65,0.417,10943
PROVATIINS,33.2,33.8,33,33.2,33.6,218,3.639,108822
PTL,48.4,49,48.2,48.4,48.3,209,7.239,148957
PUBALIBANK,29.5,29.5,29.2,29.5,29.4,136,8.134,276527
PURABIGEN,19,19.3,18.9,19,19,50,0.647,33705
QUASEMIND,30.5,31.5,30.1,30.5,30.2,330,7.072,229943
QUEENSOUTH,14.3,14.6,14.2,14.3,14.2,480,16.468,1149645
RAHIMAFOOD,82.9,83.9,82.1,82.9,82,234,3.129,37656
RAHIMTEXT,118.8,119.1,115,118.6,118.1,138,1.745,14835
RAKCERAMIC,23,23.3,22.7,23,22.9,172,2.624,114019
RANFOUNDRY,142.4,144,142,143.5,141.1,51,0.371,2593
RDFOOD,27.2,27.3,26.4,27,26.5,804,36.475,1358260
RECKITTBEN,3999.9,4058.9,3990,3999.9,4008.2,150,1.559,390
REGENTTEX,4.5,4.6,4.4,4.4,4.4,30,0.112,25386
RELIANCE1,23.4,23.9,22.6,23.4,22.6,470,40.065,1711024
RELIANCINS,57.5,57.7,56.9,57.5,57.3,162,1.928,33586
RENATA,508.3,516,508,508.3,513.4,588,8.476,16624
RENWICKJA,619,624.8,619,620,610.3,4,0.045,73
REPUBLIC,28.2,28.5,27.6,28.2,27.9,214,1.878,66848
RINGSHINE,4.4,4.5,4.3,4.4,4.3,305,3.933,893752
ROBI,28.5,28.9,28.5,28.5,28.6,1288,64.422,2251075
RSRMSTEEL,12.4,12.4,12.4,12.4,11.3,57,0.697,56227
RUNNERAUTO,27.8,28.1,27.5,27.6,27.5,254,4.294,154404
RUPALIBANK,23.5,23.7,23.1,23.5,23.3,372,16.007,682882
RUPALIINS,21.7,21.9,21.5,21.7,21.8,82,2.243,103342
RUPALILIFE,94.3,95.1,93.6,94.3,94.1,554,23.008,243739
SAFKOSPINN,11.8,12.5,11,11.8,11.5,266,2.367,196211
SAIFPOWER,12.2,12.5,12.1,12.2,12.4,321,6.768,550948
SAIHAMCOT,15.2,15.5,15.2,15.2,15.3,329,15.464,1011221
SAIHAMTEX,15.3,15.5,15.3,15.3,15.2,189,7.256,471977
SALAMCRST,23.6,23.6,22.1,23.6,21.5,1498,36.874,1586847
SALVOCHEM,25.4,25.9,24.8,25.4,25.5,763,29.075,1149216
SAMATALETH,42.3,42.5,42.2,42.3,42.1,30,0.156,3685
SAMORITA,56.7,57.1,54.9,56.7,55.2,511,7.628,135019
SANDHANINS,23.6,23.9,22.5,23.6,22.8,805,26.174,1120531
SAPORTL,22.9,23.2,22.8,22.9,22.9,368,10.815,471187
SAVAREFR,0,0,0,215.5,215.5,0,0,0
SBACBANK,9,9.1,8.9,9,9,361,10.446,1166615
SEAPEARL,37.3,38,36,37.3,36.9,1428,45.191,1211836
SEMLFBSLGF,4.6,4.6,4.5,4.5,4.5,27,0.69,153155
SEMLIBBLSF,6.1,6.2,6.1,6.1,6.2,13,0.089,14513
SEMLLECMF,6.9,6.9,6.6,6.9,6.7,71,5.868,852666
SHAHJABANK,18.9,19,18.8,18.9,19,42,1.167,61732
